"user_id","user_id_str","followers_count","friends_count","listed_count","favourites_count","statuses_count","total_tweets","covid_tweets","covid_pct","is_covid"
392221059,"392221059",1752,3445,57,40586,152219,3170,21,0.006624605678233439,True
392852671,"392852671",3392,2471,32,15,17116,712,29,0.04073033707865169,True
394012459,"394012459",939,920,3,107009,27232,3220,97,0.03012422360248447,True
3972620909,"3972620909",636,981,12,1701,1623,177,2,0.011299435028248588,True
397564296,"397564296",311,656,3,2669,2207,13,0,0.0,False
3983397083,"3983397083",3666,588,23,7002,9290,1046,35,0.033460803059273424,True
401306471,"401306471",142,580,3,1464,1644,97,0,0.0,False
401345803,"401345803",308,1545,4,25,97,19,0,0.0,False
40500318,"40500318",2463,743,82,164,2886,101,2,0.019801980198019802,True
407027035,"407027035",1105,1257,14,519,66,14,1,0.07142857142857142,True
413168304,"413168304",3223,2650,59,281,4129,115,0,0.0,False
414339036,"414339036",35,7,0,0,49,5,0,0.0,False
414671654,"414671654",468,371,9,29,159,58,0,0.0,False
416516906,"416516906",720,477,30,440,2333,36,1,0.027777777777777776,True
419306395,"419306395",587,1372,2,19,4430,40,1,0.025,True
41946531,"41946531",404,718,33,3532,1981,27,0,0.0,False
42393934,"42393934",2819,1936,70,1302,10586,1240,39,0.031451612903225803,True
425371615,"425371615",239,844,4,4660,1690,84,6,0.07142857142857142,True
42744615,"42744615",4653,1070,38,3084,4186,342,37,0.10818713450292397,True
42871150,"42871150",1035,500,120,568,5075,47,5,0.10638297872340426,True
43094938,"43094938",561,143,15,8,655,1,0,0.0,False
43556087,"43556087",2604,1923,40,1,44194,121,13,0.10743801652892562,True
44821213,"44821213",702,561,13,3672,3207,167,3,0.017964071856287425,True
45135384,"45135384",1103,739,14,239,1047,9,0,0.0,False
4580966429,"4580966429",1610,2782,18,974,273,25,0,0.0,False
462405260,"462405260",14,13,0,2,8,1,0,0.0,False
466377860,"466377860",2383,1701,8,19,24229,1041,125,0.12007684918347743,True
469627856,"469627856",1130,905,22,892,1374,70,0,0.0,False
469721571,"469721571",156,345,4,9661,3876,62,0,0.0,False
46972418,"46972418",4449,2476,115,419,9490,882,18,0.02040816326530612,True
47314634,"47314634",1650,1384,15,296,3858,1640,39,0.02378048780487805,True
481939631,"481939631",202,510,4,4205,1521,58,0,0.0,False
482409501,"482409501",408,276,2,913,1809,346,1,0.002890173410404624,True
484678959,"484678959",3890,1043,44,1128,2512,248,24,0.0967741935483871,True
485506251,"485506251",79,290,0,184,94,35,11,0.3142857142857143,True
485796555,"485796555",484,508,8,5910,269,11,0,0.0,False
48640116,"48640116",964,300,33,105,748,10,0,0.0,False
486754962,"486754962",456,652,5,3,1026,28,0,0.0,False
4868401276,"4868401276",333,186,3,91,189,3,0,0.0,False
48774811,"48774811",839,792,31,159,2573,1,0,0.0,False
4909051774,"4909051774",500,689,2,43,65,6,0,0.0,False
492421400,"492421400",2555,707,12,19776,4733,878,24,0.02733485193621868,True
495503674,"495503674",877,505,4,768,856,186,2,0.010752688172043012,True
496851320,"496851320",833,1954,2,322,7048,1377,71,0.05156136528685548,True
502801483,"502801483",2037,805,32,7941,22986,18,0,0.0,False
507849885,"507849885",2165,1771,10,419,7332,374,10,0.026737967914438502,True
515261858,"515261858",120,578,6,233,669,5,0,0.0,False
522202539,"522202539",3498,1934,84,2136,3270,230,5,0.021739130434782608,True
527751490,"527751490",206,714,2,209,1365,129,3,0.023255813953488372,True
53347498,"53347498",1102,75,26,0,2833,428,0,0.0,False
543773869,"543773869",988,1805,13,837,1218,37,0,0.0,False
546039246,"546039246",1111,1373,24,158,800,14,3,0.21428571428571427,True
552509999,"552509999",4436,772,99,2381,2801,175,3,0.017142857142857144,True
61194282,"61194282",1118,1544,29,363,2214,1,0,0.0,False
616297671,"616297671",1433,1943,38,200,501,3,0,0.0,False
619994543,"619994543",171,37,4,19,193,1,0,0.0,False
67422483,"67422483",53,198,1,1431,97,8,0,0.0,False
68822786,"68822786",3617,4516,93,403,6307,12,0,0.0,False
701233290,"701233290",213,392,3,3259,273,15,0,0.0,False
703592305,"703592305",236,455,0,45,963,4,0,0.0,False
70453829,"70453829",3743,724,68,1422,6010,19,1,0.05263157894736842,True
705207157,"705207157",1757,150,20,1961,2324,804,30,0.03731343283582089,True
707093,"707093",810,968,48,6212,11823,1626,65,0.03997539975399754,True
707867963186126848,"707867963186126848",133,999,0,0,262,114,0,0.0,False
712014594135478272,"712014594135478272",4047,7,135,141216,5296,1374,13,0.009461426491994178,True
715150850868580352,"715150850868580352",1708,339,11,3315,1708,173,0,0.0,False
72075779,"72075779",143,435,0,32,70,1,0,0.0,False
725576190648553473,"725576190648553473",2235,2214,27,11770,6101,334,9,0.02694610778443114,True
7300092,"7300092",371,222,23,1162,1033,5,0,0.0,False
731966250486730752,"731966250486730752",458,493,6,929,203,3,0,0.0,False
733305085518831616,"733305085518831616",158,564,1,66,323,8,0,0.0,False
73985850,"73985850",473,2121,20,31828,7446,977,49,0.05015353121801433,True
746321068995010561,"746321068995010561",967,979,35,51402,242,102,3,0.029411764705882353,True
75648876,"75648876",445,257,39,0,319,1,0,0.0,False
760021461524484096,"760021461524484096",661,456,8,160,979,130,6,0.046153846153846156,True
78005513,"78005513",1162,816,57,2998,22474,2,0,0.0,False
