year,month,week,day,source,target,tweet_count,favorite_count
2022,11,47,23,RitamBalkana,RitamBalkana,1,0
2022,11,47,23,RitamBalkana,RitamBalkanaCom,1,0
2022,11,47,23,RitamBalkana,balkanmuzika,1,0
2022,11,47,23,RitamBalkana,glazba,1,0
2022,11,47,23,RitamBalkana,muzika,1,0
2022,11,47,23,RitamBalkana,nedjeljom,1,0
2022,11,47,23,RitamBalkana,officialvideo,1,0
2022,11,47,23,RitamBalkana,videospot,1,0
2022,11,47,23,SEHALeague,SEHALeague,1,2
2022,11,47,23,SEHALeague,experiencehandball,1,2
2022,11,47,23,VladaRH,SaborRH,1,92
2022,11,47,23,VladaRH,Schengen,2,184
2022,11,47,23,VozdeCroacia,Croacia,3,9
2022,11,47,23,VozdeCroacia,FIFAworldcup,1,3
2022,11,47,23,VozdeCroacia,Katar2022,1,3
2022,11,47,23,VozdeCroacia,Marruecos,1,3
2022,11,47,23,VozdeCroacia,Qatar2022,1,3
2022,11,47,23,VozdeCroacia,nogomet,1,3
2022,11,47,23,ZagrebFacts,ZagrebFacts,1,5
2022,11,47,23,agroklub,AMR,1,3
2022,11,47,23,agroklub,Cilj,1,3
2022,11,47,23,agroklub,EU,1,3
2022,11,47,23,agroklub,EarthyficialParkOne,1,3
2022,11,47,23,agroklub,FIFAWorldCup2022,1,3
2022,11,47,23,agroklub,HrvatskeŠume,1,3
2022,11,47,23,agroklub,Morocco,1,3
2022,11,47,23,agroklub,Oborine,1,3
2022,11,47,23,agroklub,Proizvodnja,1,3
2022,11,47,23,agroklub,Qatar2022,1,3
2022,11,47,23,agroklub,UkraineRussiaWar️,1,3
2022,11,47,23,agroklub,agroklub,13,39
2022,11,47,23,agroklub,antibiotici,1,3
2022,11,47,23,agroklub,cijene,1,3
2022,11,47,23,agroklub,danas,1,3
2022,11,47,23,agroklub,hrana,2,6
2022,11,47,23,agroklub,hub,1,3
2022,11,47,23,agroklub,kolač,1,3
2022,11,47,23,agroklub,korčula,1,3
2022,11,47,23,agroklub,kozmetika,1,3
2022,11,47,23,agroklub,krš,1,3
2022,11,47,23,agroklub,lijeska,1,3
2022,11,47,23,agroklub,lješnjak,1,3
2022,11,47,23,agroklub,lumblija,1,3
2022,11,47,23,agroklub,marokovskroasia,1,3
2022,11,47,23,agroklub,najskupljeulje,1,3
2022,11,47,23,agroklub,poljoprivreda,1,3
2022,11,47,23,agroklub,portal,1,3
2022,11,47,23,agroklub,povrće,1,3
2022,11,47,23,agroklub,pošumljavanje,1,3
2022,11,47,23,agroklub,prognoza,1,3
2022,11,47,23,agroklub,rekord,1,3
2022,11,47,23,agroklub,rezidue,1,3
2022,11,47,23,agroklub,ruralniturizam,1,3
2022,11,47,23,agroklub,rwa,1,3
2022,11,47,23,agroklub,sjeme,1,3
2022,11,47,23,agroklub,stipendija,1,3
2022,11,47,23,agroklub,stočarstvo,1,3
2022,11,47,23,agroklub,stratifikacija,1,3
2022,11,47,23,agroklub,studiranje,1,3
2022,11,47,23,agroklub,voće,1,3
2022,11,47,23,agroklub,vrijeme,1,3
2022,11,47,23,agroklub,zemljište,1,3
2022,11,47,23,agroklub,žitarice,1,3
2022,11,47,23,gnkdinamo,Hrvatska,1,35
2022,11,47,23,gnkdinamo,dinamozagreb,1,35
2022,11,47,23,golhr,dalić,1,0
2022,11,47,23,golhr,golhr,4,0
2022,11,47,23,golhr,hrvatska,3,0
2022,11,47,23,golhr,maroko,1,0
2022,11,47,23,golhr,modrić,1,0
2022,11,47,23,golhr,nogomet,4,0
2022,11,47,23,golhr,spkatar2022,1,0
2022,11,47,23,grdilicious,comic,1,0
2022,11,47,23,grdilicious,comicstrip,1,0
2022,11,47,23,grdilicious,grdi,1,0
2022,11,47,23,grdilicious,grdicomics,1,0
2022,11,47,23,grdilicious,grdilicious,1,0
2022,11,47,23,grdilicious,oddyuckly,1,0
2022,11,47,23,grdilicious,selfevaluation,1,0
2022,11,47,23,grdilicious,seminar,1,0
2022,11,47,23,grdilicious,teacher,1,0
2022,11,47,23,grdilicious,webcomic,1,0
2022,11,47,23,hajduk,Hajduk,4,632
2022,11,47,23,microblink,DocumentScanning,1,0
2022,11,47,23,mkundek,nogomet,1,0
2022,11,47,23,mup_rh,civilnežrtve,1,3
2022,11,47,23,mup_rh,osobesinvaliditetom,1,3
2022,11,47,23,mup_rh,ravnopravnost,1,3
2022,11,47,23,ravnododna,alejuandrobuendija,1,3
2022,11,47,23,ravnododna,royksopp,1,3
2022,11,47,23,znatko,odgovor,18,0
2022,11,47,23,znatko,pitanje,18,0
2022,11,47,24,AmerigoGazaway,NowPlaying,1,6
2022,11,47,24,EnterZagreb,Ambasador,1,0
2022,11,47,24,EnterZagreb,EnterZagreb,1,0
2022,11,47,24,LikeZadar,AdventZadar,1,15
2022,11,47,24,LikeZadar,LikeZadar,1,15
2022,11,47,24,PopraviTo,Croatia,1,11
2022,11,47,24,PopraviTo,FixMyStreet,1,11
2022,11,47,24,PopraviTo,PopraviTo,1,11
2022,11,47,24,PopraviTo,codeforcroatia,1,11
2022,11,47,24,RitamBalkana,DarkoRundek,1,1
2022,11,47,24,RitamBalkana,Ena,1,1
2022,11,47,24,RitamBalkana,JazzOrkestarHRT,1,1
2022,11,47,24,RitamBalkana,RitamBalkana,1,1
2022,11,47,24,RitamBalkana,RitamBalkanaCom,1,1
2022,11,47,24,RitamBalkana,balkan,1,1
2022,11,47,24,RitamBalkana,balkanmuzika,1,1
2022,11,47,24,RitamBalkana,glazba,1,1
2022,11,47,24,RitamBalkana,muzickanumera,1,1
2022,11,47,24,RitamBalkana,muzika,1,1
2022,11,47,24,RitamBalkana,novapesma,1,1
2022,11,47,24,RitamBalkana,novapjesma,1,1
2022,11,47,24,RitamBalkana,novisingl,1,1
2022,11,47,24,SEHALeague,SEHALeague,2,8
2022,11,47,24,SEHALeague,experiencehandball,2,8
2022,11,47,24,SaintKotar,IndieGames,1,10
2022,11,47,24,SaintKotar,SaintKotar,1,10
2022,11,47,24,SaintKotar,Xbox,1,10
2022,11,47,24,VladaRH,SaborRH,3,843
2022,11,47,24,VladaRH,sjednicaVRH,8,2248
2022,11,47,24,ZagrebFacts,ZagrebFacts,1,25
2022,11,47,24,agroklub,Srbija,1,3
2022,11,47,24,agroklub,Sučeljavanje,1,3
2022,11,47,24,agroklub,agroklub,8,24
2022,11,47,24,agroklub,lemken,1,3
2022,11,47,24,agroklub,mehanizacija,1,3
2022,11,47,24,agroklub,meso,1,3
2022,11,47,24,agroklub,ovan,1,3
2022,11,47,24,agroklub,poljoprivreda,2,6
2022,11,47,24,agroklub,prosvjed,1,3
2022,11,47,24,agroklub,pčelarstvo,1,3
2022,11,47,24,agroklub,radnoVrijeme,1,3
2022,11,47,24,agroklub,stočarstvo,1,3
2022,11,47,24,agroklub,svinjetina,1,3
2022,11,47,24,agroklub,tržištežitarica,1,3
2022,11,47,24,agroklub,ukrajina,1,3
2022,11,47,24,agroklub,visitbaranja,1,3
2022,11,47,24,agroklub,zadruge,1,3
2022,11,47,24,agroklub,znak,1,3
2022,11,47,24,agroklub,čvarak,1,3
2022,11,47,24,golhr,borjan,1,2
2022,11,47,24,golhr,dalić,1,2
2022,11,47,24,golhr,golhr,10,20
2022,11,47,24,golhr,kanada,2,4
2022,11,47,24,golhr,katar,1,2
2022,11,47,24,golhr,lovren,1,2
2022,11,47,24,golhr,neymar,1,2
2022,11,47,24,golhr,nogomet,9,18
2022,11,47,24,golhr,prochazka,1,2
2022,11,47,24,golhr,sikazwe,1,2
2022,11,47,24,golhr,spkatar2022,2,4
2022,11,47,24,golhr,srbija,1,2
2022,11,47,24,golhr,ufc,1,2
2022,11,47,24,golhr,vatreni,4,8
2022,11,47,24,goodgameglobal,baeleek,1,10
2022,11,47,24,goodgameglobal,goodgameglobal,1,10
2022,11,47,24,goodgameglobal,kovavevo,1,10
2022,11,47,24,gvzadar,dangrada,1,3
2022,11,47,24,gvzadar,gvline,1,3
2022,11,47,24,gvzadar,gvlineiadera,1,3
2022,11,47,24,gvzadar,gvzadar,1,3
2022,11,47,24,gvzadar,svkrsevan,1,3
2022,11,47,24,gvzadar,zadar,1,3
2022,11,47,24,hajduk,Hajduk,2,86
2022,11,47,24,hunibikeshop,cubebicycles,1,3
2022,11,47,24,hunibikeshop,cudebikes,1,3
2022,11,47,24,hunibikeshop,likes,1,3
2022,11,47,24,hunibikeshop,msenergy,1,3
2022,11,47,24,identyum,Compliance,1,0
2022,11,47,24,identyum,aml,1,0
2022,11,47,24,identyum,digitalonboarding,1,0
2022,11,47,24,mkundek,kojetulud,1,0
2022,11,47,24,punkuferhr,katarzaokusima,1,0
2022,11,47,24,punkuferhr,punkuferhr,1,0
2022,11,47,24,punkuferhr,zanimljivosti,1,0
2022,11,47,24,znatko,odgovor,7,0
2022,11,47,24,znatko,pitanje,7,0
2022,11,47,25,BloombergAdrHR,INA,1,10
2022,11,47,25,BloombergAdrHR,Walmart,1,10
2022,11,47,25,BloombergAdrHR,bloombergadriahrvatska,1,10
2022,11,47,25,BloombergAdrHR,circuitmess,1,10
2022,11,47,25,HAProxy,HAProxyConf,1,2
2022,11,47,25,HAProxy,HAProxyTips,1,2
2022,11,47,25,LikeZadar,FeelZadar,1,3
2022,11,47,25,LikeZadar,LikeZadar,1,3
2022,11,47,25,RitamBalkana,Rasta,1,0
2022,11,47,25,RitamBalkana,RitamBalkana,1,0
2022,11,47,25,RitamBalkana,RitamBalkanaCom,1,0
2022,11,47,25,RitamBalkana,TijanaeM,1,0
2022,11,47,25,RitamBalkana,balkanmuzika,1,0
2022,11,47,25,RitamBalkana,bandit,1,0
2022,11,47,25,RitamBalkana,glazba,1,0
2022,11,47,25,RitamBalkana,muzika,1,0
2022,11,47,25,RitamBalkana,officialvideo,1,0
2022,11,47,25,RitamBalkana,videospot,1,0
2022,11,47,25,SEHALeague,SEHALeauge,1,5
2022,11,47,25,SEHALeague,experiencehandball,1,5
2022,11,47,25,VladaRH,COVID19,1,83
2022,11,47,25,VladaRH,SaborRH,1,83
