user_id,username,tweets_collectted_at,location,followers,friends,statuses,last_time_check,failed
4524616300,19hrvoje76,2020-11-27 12:56:46.879856,Republic of Croatia Zagreb,2,31,0,-1,False
1004697960519753600,19nemaVeze50,-1,Republic of Croatia,0,60,0,-1,True
460599537,1BasicGuy1,2020-11-27 12:56:49.991413,Croatia,188,170,44,-1,False
477759330,1D4evaInMyHeart,2020-11-27 12:56:51.171133,Croatia,92,436,48,-1,False
523596510,1DAndreaCro,-1,"Zadar,Croatia",406,1567,1036,-1,True
2732536546,1DBestie7,2020-11-27 12:56:52.575155,Croatia,330,427,1653,-1,False
707212544,1DBruno97,2020-11-27 12:56:53.872737,Croatia,205,618,638,-1,False
471161233,1DCROATIAfans,2020-11-27 12:56:54.776492,Croatia ,33,18,2,-1,False
541277682,1DCroatiaTeam,2020-11-27 12:56:57.227327,"Split,Croatia",24,59,2,-1,False
507577621,1DCroatianLover,-1,Croatia,89,0,247,-1,True
3352035747,1DFAN4EVERANA,2020-11-27 12:56:58.704947,Republic of Croatia,164,214,4530,-1,False
3140215690,1DFamilyCRO,2020-11-27 12:56:59.648604,Croatia,493,10,1,-1,False
620917929,1DFanClubCroati,2020-11-27 12:57:00.822633,Croatia,54,94,112,-1,False
911060870,1DJanoskiansJB_,2020-11-27 12:57:02.185507,Croatia,215,704,445,-1,False
546370598,1DJosipa,2020-11-27 04:49:26.973307,Croatia,1171,1368,877,2020-10-25 23:50:38.700662,False
588055433,1DMarija,2020-11-27 12:57:03.642390,Croatia,212,0,4386,-1,False
2955030669,1DMia_25,2020-11-27 12:57:04.855417,Croatia,16,106,134,-1,False
503200550,1DNAKED____,2020-11-27 04:51:34.278992,Croatia,831,1468,4233,2020-10-26 12:23:05.278489,False
193043403,1DPetra1D,2020-11-27 12:57:07.515733,Croatia,912,554,5599,-1,False
608407960,1DPetraMustapic,2020-11-27 12:57:08.782117,Croatia,275,702,541,-1,False
553645742,1DTeamCroZG,2020-11-27 12:57:11.169635,"Zagreb, Croatia, Europe",1,7,1,-1,False
612005959,1DTeamCroatia1,2020-11-27 12:57:12.328200,Croatia,44,30,58,-1,False
179465784,1DToCroatiax,2020-11-27 12:57:13.686318,Croatia,464,1409,5183,-1,False
811673461,1DUAreMyWorld,2020-11-27 12:57:14.816722,Croatia,295,506,27,-1,False
560486319,1D_2_Croatia,2020-11-27 12:57:16.085020,Croatia,68,52,174,-1,False
354445286,1D_Alina34567,2020-11-27 12:57:17.396051,Croatia,60,143,240,-1,False
452225070,1D_Cro,2020-11-27 12:57:18.614817,Croatia,48,90,85,-1,False
307321717,1D_Croatia,2020-11-27 12:57:19.935004,"Zadar,Croatia",155,238,3975,-1,False
1914098881,1D_Croatia_Iva_,2020-11-27 12:57:20.950996,Croatia,4,25,10,-1,False
