user_id,total_tweets,covid_tweets,covid_pct
19474219,4,0,0.0
19487774,321,0,0.0
19504348,1,0,0.0
19511618,1147,23,0.02
19580659,1,0,0.0
19586698,1,0,0.0
19624130,61,1,0.02
19662746,17,1,0.06
19703585,2614,207,0.08
19761787,19,0,0.0
19810216,1,0,0.0
19811557,1,0,0.0
19825388,65,0,0.0
19840177,386,0,0.0
19840914,89,5,0.06
19855425,6,0,0.0
19940983,12,0,0.0
19962662,1324,48,0.04
19990083,9,1,0.11
20006415,357,14,0.04
20010316,1,0,0.0
20058723,4,0,0.0
20125788,1,0,0.0
20149686,8,0,0.0
20284782,9,1,0.11
20342040,41,0,0.0
20435383,99,5,0.05
20498199,220,2,0.01
20515037,63,0,0.0
20530141,1500,52,0.03
20585659,207,8,0.04
20624131,10,0,0.0
20663353,2,0,0.0
20693207,56,2,0.04
20727896,1,0,0.0
20730538,11,0,0.0
20789955,117,3,0.03
20800599,29,1,0.03
20839812,278,12,0.04
20850648,1265,210,0.17
20889160,112,1,0.01
20970334,3138,149,0.05
20992419,9,0,0.0
21002166,1,0,0.0
21097648,19,0,0.0
21127941,2,0,0.0
21225794,6,0,0.0
21291797,5,0,0.0
21295173,12,0,0.0
21307548,21,0,0.0
21319124,1,0,0.0
21321173,41,3,0.07
21322528,1,0,0.0
21359485,335,2,0.01
21390444,1,0,0.0
21474216,54,1,0.02
21518992,2084,21,0.01
21561914,759,167,0.22
21639882,3,1,0.33
21687299,1,0,0.0
21721539,2935,62,0.02
21751866,16,0,0.0
21799230,10,0,0.0
21804798,53,3,0.06
21810420,3106,166,0.05
21851831,1,0,0.0
21884571,78,2,0.03
22004039,2,0,0.0
22006259,2,0,0.0
22007508,1,0,0.0
22009522,16,1,0.06
22036901,354,24,0.07
22050471,8,0,0.0
22067552,480,25,0.05
22075417,160,3,0.02
22144899,6,0,0.0
22160831,38,0,0.0
22249930,2,0,0.0
22342162,28,1,0.04
22417176,93,1,0.01
22473883,8,2,0.25
22489190,2,0,0.0
22494857,709,6,0.01
22527625,4,0,0.0
22659459,2,0,0.0
22665139,1,0,0.0
